Service,EC2-Instances($),EC2-Other($),Route 53($),CloudFront($),S3($),Budgets($),Key Management Service($),DynamoDB($),CloudWatch($),Total cost ($)
Service Total,2.5321734318,0.47331433340000006,0.0022816,0.0004943386,0.0003142989,0.0,0.0,0.0,0.0,3.0085780027
2020-03-30,2.5321734318,0.47331433340000006,0.0022816,0.0004943386,0.0003142989,0.0,0.0,0.0,0.0,3.0085780027
