Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),CloudFront($),S3($),API Gateway($),Budgets($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.8991502,2.0841879682,0.5275156958,0.002508,0.0001008722,0.0000487154,0.0000035091,0.0,0.0,0.0,0.0,5.5135149607
2020-04-08,2.8991502,2.0841879682,0.5275156958,0.002508,0.0001008722,0.0000487154,0.0000035091,0.0,0.0,0.0,0.0,5.5135149607
