Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),Budgets($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.8992114,2.0683553629,0.5272321394,0.003804,0.0000197154,0.0000088179,0.0,0.0,0.0,0.0,5.4986314356
2020-04-12,2.8992114,2.0683553629,0.5272321394,0.003804,0.0000197154,0.0000088179,0.0,0.0,0.0,0.0,5.4986314356
