Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),CloudFront($),S3($),API Gateway($),Lambda($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.8990055999999997,2.0673936131,0.5272524154,0.0029476,0.0000649241,0.0000341154,0.000003513,0.0,0.0,0.0,0.0,5.496701781
2020-04-09,2.8990055999999997,2.0673936131,0.5272524154,0.0029476,0.0000649241,0.0000341154,0.000003513,0.0,0.0,0.0,0.0,5.496701781
