Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),API Gateway($),Budgets($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.8990424,2.0680428125,0.5272380318,0.0034564000000000005,0.0000413154,0.0000083689,0.0000035091,0.0,0.0,0.0,0.0,5.4978328377
2020-04-11,2.8990424,2.0680428125,0.5272380318,0.0034564000000000005,0.0000413154,0.0000083689,0.0000035091,0.0,0.0,0.0,0.0,5.4978328377
