Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),CloudFront($),S3($),DynamoDB($),CloudWatch($),Total cost ($)
Service Total,2.2898114877999998,1.6370704694,0.26363763689999997,0.0048844,0.0001235787,0.0000546,0.0,0.0,4.1955821728
2020-04-07,2.2898114877999998,1.6370704694,0.26363763689999997,0.0048844,0.0001235787,0.0000546,0.0,0.0,4.1955821728
