Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),API Gateway($),Budgets($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.8991575999999997,2.0666683378,0.3966674525,0.0030328,0.000019715399999999998,0.0000103564,0.0000035091,0.0,0.0,0.0,0.0,5.3655597712
2020-04-10,2.8991575999999997,2.0666683378,0.3966674525,0.0030328,0.000019715399999999998,0.0000103564,0.0000035091,0.0,0.0,0.0,0.0,5.3655597712
