Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),Budgets($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.8988402,2.0687176241,0.5273596906,0.0038444,0.0000793154,0.000012163,0.0,0.0,0.0,0.0,5.4988533931
2020-04-15,2.8988402,2.0687176241,0.5273596906,0.0038444,0.0000793154,0.000012163,0.0,0.0,0.0,0.0,5.4988533931
