Service,EC2-Instances($),Relational Database Service($),EC2-Other($),Route 53($),CloudFront($),S3($),Budgets($),Key Management Service($),DynamoDB($),CloudWatch($),Total cost ($)
Service Total,7.2033416485,2.7225925299,1.6029137561000002,0.5061211999999999,0.00022931889999999998,0.0001436989,0.0,0.0,0.0,0.0,12.0353421523
2020-03-31,7.2033416485,2.7225925299,1.6029137561000002,0.5061211999999999,0.00022931889999999998,0.0001436989,0.0,0.0,0.0,0.0,12.0353421523
