Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),Budgets($),DynamoDB($),CloudWatch($),Total cost ($)
Service Total,2.8989312,2.0989129276000003,0.3737306563000001,0.003994,0.0001465155,0.0000451356,0.0,0.0,0.0,5.375760435
2020-04-03,2.8989312,2.0989129276000003,0.3737306563000001,0.003994,0.0001465155,0.0000451356,0.0,0.0,0.0,5.375760435
