Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),CloudFront($),S3($),Budgets($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.899113,2.0669331148,0.5272553735,0.0030764000000000004,0.0000822687,0.0000297154,0.0,0.0,0.0,0.0,5.4964898724
2020-04-14,2.899113,2.0669331148,0.5272553735,0.0030764000000000004,0.0000822687,0.0000297154,0.0,0.0,0.0,0.0,5.4964898724
