Service,Registrar($),EC2-Instances($),Relational Database Service($),Route 53($),EC2-Other($),S3($),CloudFront($),Budgets($),DynamoDB($),CloudWatch($),Tax($),Total cost ($)
Service Total,23.0,4.1892656849000005,2.8986238488,2.5063152,0.5280612807,0.0001511723,0.000013622900000000001,0.0,0.0,0.0,0.0,33.1224308096
2020-04-01,23.0,4.1892656849000005,2.8986238488,2.5063152,0.5280612807,0.0001511723,0.000013622900000000001,0.0,0.0,0.0,0.0,33.1224308096
