Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),CloudFront($),S3($),Budgets($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.8990536000000002,2.0660207258,0.5272225926999999,0.0028772000000000003,0.0000151036,0.0000145154,0.0,0.0,0.0,0.0,5.4952037375
2020-04-13,2.8990536000000002,2.0660207258,0.5272225926999999,0.0028772000000000003,0.0000151036,0.0000145154,0.0,0.0,0.0,0.0,5.4952037375
