Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),Key Management Service($),DynamoDB($),SQS($),CloudWatch($),Total cost ($)
Service Total,2.6572247,1.8984350815,0.30847828200000005,0.0041643999999999995,0.0000128,0.0000102083,0.0,0.0,0.0,0.0,4.8683254718
2020-04-16,2.6572247,1.8984350815,0.30847828200000005,0.0041643999999999995,0.0000128,0.0000102083,0.0,0.0,0.0,0.0,4.8683254718
