Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),Lambda($),Budgets($),Key Management Service($),DynamoDB($),CloudWatch($),Total cost ($)
Service Total,2.8949325689000003,2.0691500046,0.4393633298,0.0018768,0.0000329154,0.0000225249,0.0000106535,0.0,0.0,0.0,0.0,5.4053887971
2020-04-06,2.8949325689000003,2.0691500046,0.4393633298,0.0018768,0.0000329154,0.0000225249,0.0000106535,0.0,0.0,0.0,0.0,5.4053887971
