Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),Budgets($),Key Management Service($),Lambda($),DynamoDB($),CloudWatch($),Total cost ($)
Service Total,2.8984696,2.0954895258,0.3737298791,0.0036907999999999997,0.000370227,0.00007174549999999999,0.0,0.0,0.0,0.0,0.0,5.3718217774
2020-04-04,2.8984696,2.0954895258,0.3737298791,0.0036907999999999997,0.000370227,0.00007174549999999999,0.0,0.0,0.0,0.0,0.0,5.3718217774
