Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),CloudFront($),S3($),API Gateway($),Budgets($),Key Management Service($),Lambda($),DynamoDB($),CloudWatch($),Total cost ($)
Service Total,2.8994852,2.0773235854,0.3517072367,0.0036216,0.000080205,0.0000733154,0.0000210956,0.0,0.0,0.0,0.0,0.0,5.3323122381
2020-04-05,2.8994852,2.0773235854,0.3517072367,0.0036216,0.000080205,0.0000733154,0.0000210956,0.0,0.0,0.0,0.0,0.0,5.3323122381
