Service,Relational Database Service($),EC2-Instances($),EC2-Other($),Route 53($),S3($),CloudFront($),SNS($),Budgets($),Key Management Service($),DynamoDB($),CloudWatch($),Total cost ($)
Service Total,2.8999164613999997,2.66869924,0.5273698499,0.0040004,0.0005857155,0.0000732717,0.0000000036,0.0,0.0,0.0,0.0,6.1006449421
2020-04-02,2.8999164613999997,2.66869924,0.5273698499,0.0040004,0.0005857155,0.0000732717,0.0000000036,0.0,0.0,0.0,0.0,6.1006449421
